Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Groups
2023,1,Alabama,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Child daycare/preschool,2,1.0,1.0,0.0,1.0,,,,,,,O157:H7
2023,1,Minnesota,Food,"Escherichia coli, Enterotoxigenic;Escherichia coli, Enteroaggregative",unknown,Confirmed;Confirmed,Restaurant: Other,4,1.0,4.0,0.0,4.0,cold-pressed juice,fennel,,,,,Other or Unknown
2023,1,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Unknown,7,3.0,7.0,0.0,7.0,,,,,,,O157:H7
2023,1,Louisiana,Person-to-person,"Escherichia coli, Enteropathogenic",unknown,Suspected,Child daycare/preschool,3,0.0,3.0,0.0,3.0,,,,,,,Other or Unknown
2023,2,Virginia,Person-to-person,"Escherichia coli, Shiga toxin-producing;Rotavirus",unknown,Suspected;Suspected,Child daycare/preschool,9,0.0,9.0,0.0,9.0,,,,,,,Other or Unknown
2023,2,Multistate,Environmental contamination other than food/water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,School/college/university,10,3.0,9.0,0.0,8.0,,,,,,,O157:H7
2023,2,Missouri,Food,"Escherichia coli, Enteropathogenic;Campylobacter unknown",unknown,Suspected;Suspected,Restaurant: Sit-down dining,8,0.0,8.0,0.0,8.0,cheese dip,,Multiple,,,,Other or Unknown
2023,3,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O103:H2,Confirmed,Restaurant: Sit-down dining,4,0.0,4.0,0.0,4.0,pesto chicken sandwich,,Multiple,,,,Other or Unknown
2023,3,South Carolina,Person-to-person,"Escherichia coli, Shiga toxin-producing;Norovirus unknown",O157,Suspected;Suspected,School/college/university,20,0.0,14.0,0.0,14.0,,,,,,,O157:H7
2023,4,Texas,Food,"Escherichia coli, Shiga toxin-producing",unknown,Confirmed,Residence - Single-family home,3,0.0,3.0,0.0,3.0,ground beef,,Beef,,,,Other or Unknown
2023,4,Oregon,Food,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Residence - Single-family home,13,0.0,13.0,0.0,13.0,potato salad;Smoked brisket,,Multiple,,,,O157:H7
2023,4,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,16,4.0,13.0,0.0,16.0,,,,,,,O157:H7
2023,5,South Dakota,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child daycare/preschool,4,2.0,4.0,0.0,4.0,,,,,,,O157:H7
2023,5,Texas,Food,"Escherichia coli, Shiga toxin-producing",unknown,Confirmed,Residence - Single-family home,2,1.0,2.0,0.0,2.0,chicken,,Chicken,,,,Other or Unknown
2023,5,Indiana,Person-to-person,"Escherichia coli, Shiga toxin-producing",O145,Confirmed,Child daycare/preschool,5,1.0,5.0,0.0,5.0,,,,,,,Other or Unknown
2023,5,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O26:H11,Confirmed,Restaurant: Fast-food (drive up service or pay at counter);Unknown;Residence - Single-family home,13,7.0,12.0,0.0,12.0,Iceberg Lettuce,,Vegetable Row Crops,,,,O26:H11
2023,5,Minnesota,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Event space,2,1.0,2.0,0.0,2.0,,,,,,,O157:H7
2023,5,Texas,Food,"Escherichia coli, Shiga toxin-producing",unknown,Confirmed,Restaurant: Fast-food (drive up service or pay at counter),5,0.0,0.0,0.0,0.0,Beef steak tacos,,Multiple,,,,Other or Unknown
2023,5,Connecticut,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Event space;Unknown,4,4.0,4.0,0.0,4.0,,,,,,,O157:H7
2023,5,Arkansas,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child daycare/preschool,2,2.0,2.0,1.0,2.0,,,,,,,O157:H7
2023,6,Tennessee,Food,"Escherichia coli, Shiga toxin-producing;Staphylococcus aureus;Escherichia coli, Enteropathogenic",unknown,Suspected;Confirmed;Confirmed,Residence - Single-family home,33,1.0,33.0,0.0,33.0,pozole,tomato;radish;pork;iceberg lettuce;chicken,Multiple,,,,Other or Unknown
2023,6,Ohio,Person-to-person,"Escherichia coli, Shiga toxin-producing",other,Confirmed,Residence - Single-family home,2,1.0,2.0,0.0,2.0,,,,,,,Other or Unknown
