source_category,geo_loc_name,host,isolation_source,year_and_month
Uncategorized,USA: Comer Children's Hospital at the University of Chicago,Homo sapiens,,2012-02
Uncategorized,USA: Comer Children's Hospital at the University of Chicago,Homo sapiens,,2012-02
Uncategorized,"USA: Boston, MA",Homo sapiens,BLOOD CULTURE,2012-12
Uncategorized,"USA: Boston, MA",Homo sapiens,BLOOD CULTURE,2012-12
Uncategorized,"USA: Boston, MA",Homo sapiens,BLOOD CULTURE,2012-12
Uncategorized,USA,missing,missing,2010-11
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2009-07
Uncategorized,USA,missing,stool,2010-04
Uncategorized,USA,missing,stool,2010-06
Uncategorized,USA,missing,stool,2009-07
Uncategorized,USA,missing,stool,2010-03
Uncategorized,"USA: Curry County, Oregon",,environment,2014-01
Uncategorized,"USA: Oklahoma City, OK",Homo sapiens,Blood culture,2013-04
Uncategorized,USA,Homo sapiens,stool,2011-03
Uncategorized,USA,Homo sapiens,stool,2011-03
Uncategorized,USA,Homo sapiens,stool,2011-06
Uncategorized,USA: Mississippi,Homo sapiens,wound site,2012-08
Uncategorized,USA: Mississippi,Homo sapiens,Blood culture,2012-08
Uncategorized,USA,,Cattle feces,2010-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human rectal sample,2013-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human fecal sample,2013-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human fecal sample,2013-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human rectal sample,2013-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human rectal sample,2013-06
Uncategorized,USA: Santa Clara,Homo sapiens,Human fecal sample,2013-06
Uncategorized,USA:NY,Homo sapiens,stool,2011-04
Uncategorized,USA: New York,Homo sapiens,stool,2011-04
Uncategorized,USA,Homo sapiens,Surveillance swab - Groin,2013-09
Uncategorized,USA,Homo sapiens,Wound - sacrum,2014-05
Uncategorized,USA:New York City,,stool,2014-08
Uncategorized,USA,,Turkey cecum,2012-07
Uncategorized,USA,,Turkey cecum,2012-07
Uncategorized,USA,,Turkey cecum,2012-07
Uncategorized,USA,,Turkey cecum,2012-07
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-03
Uncategorized,USA,,farm,2012-03
Uncategorized,USA,,farm,2012-03
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2012-03
Uncategorized,USA,,farm,2012-03
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2012-01
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
Uncategorized,USA,,farm,2011-12
