year_and_month,22.0,AZ-T,BIOM,CFSA,CVM ,ECOL,Extr,KCJK,MOD1,PNUS
2009-01,0,0,0,0,0,0,0,0,0,1
2009-02,0,0,0,0,0,0,0,0,2,0
2009-04,0,0,0,0,0,0,0,0,4,0
2009-05,0,0,0,0,0,0,0,0,0,1
2009-06,0,0,0,0,0,0,0,0,8,7
2009-07,0,0,0,0,0,0,0,0,0,5
2009-08,0,0,0,0,0,0,0,0,2,3
2009-09,0,14,0,0,0,0,0,0,0,1
2009-10,0,34,0,0,0,0,0,0,12,0
2009-11,0,21,0,0,0,0,0,0,4,1
2009-12,0,19,0,0,0,0,0,0,10,0
2010-01,0,0,0,0,0,0,0,0,0,1
2010-02,0,0,0,0,0,0,0,0,34,1
2010-03,0,0,0,0,0,0,0,0,36,0
2010-04,0,0,0,0,0,0,0,0,10,3
2010-05,0,0,0,0,0,0,0,0,12,2
2010-06,0,0,0,1,0,0,0,0,34,3
2010-07,0,0,0,3,0,0,0,0,2,8
2010-08,0,0,0,1,0,0,0,0,4,5
2010-09,0,0,0,0,0,0,0,0,2,4
2010-10,0,0,0,0,0,0,0,0,4,1
2010-11,0,0,0,0,0,0,0,0,0,2
2010-12,0,0,0,0,0,0,0,0,2,2
2011-01,0,0,0,0,0,0,0,0,12,0
2011-02,0,0,0,0,0,0,0,0,4,1
2011-03,0,0,0,0,0,0,0,0,2,1
2011-04,0,0,0,0,0,0,0,0,5,3
2011-05,0,0,0,6,0,0,0,0,2,0
2011-06,0,0,0,36,0,0,0,0,2,4
2011-07,0,0,0,43,0,0,0,0,6,21
2011-08,0,0,0,5,0,0,0,0,8,11
2011-09,0,0,0,0,0,0,0,0,2,2
2011-10,0,0,0,0,0,0,0,0,4,7
2011-11,0,0,0,0,0,0,0,0,0,5
2011-12,0,0,0,0,70,0,0,0,8,8
2012-01,0,0,0,0,66,0,0,0,2,10
2012-02,0,0,0,0,0,0,0,0,4,3
2012-03,0,0,0,0,16,0,0,0,8,4
2012-04,0,0,0,2,0,0,0,0,8,7
2012-05,0,0,0,1,0,0,0,0,24,13
2012-06,0,0,0,0,0,0,0,0,4,5
2012-07,0,0,0,0,0,0,0,0,6,6
2012-08,0,0,0,0,0,0,0,0,18,16
2012-09,0,0,0,1,0,0,0,0,22,0
2012-10,0,0,0,1,0,0,0,0,2,5
2012-11,0,0,0,1,0,0,0,0,4,9
2012-12,0,0,0,1,0,0,0,0,0,4
2013-01,0,4,0,0,0,0,0,0,2,10
2013-02,0,21,0,0,0,0,0,0,2,0
2013-03,0,31,0,0,0,0,0,0,4,3
2013-04,0,32,0,0,0,0,0,0,2,11
2013-05,0,9,0,0,0,0,0,0,8,26
2013-06,0,0,0,0,0,0,0,0,4,26
2013-07,0,161,0,0,0,0,0,0,22,19
2013-08,0,0,0,0,0,0,0,0,4,46
2013-09,0,0,0,0,0,0,0,0,10,58
2013-10,0,0,0,0,0,0,0,0,8,9
2013-11,0,0,0,0,0,0,0,0,0,5
2013-12,0,0,0,0,0,0,0,0,18,6
2014-01,0,0,0,0,0,0,0,0,16,5
2014-02,0,0,0,0,0,0,0,0,27,9
2014-03,0,0,0,0,0,0,0,0,11,27
2014-04,0,0,0,0,0,0,0,0,1,11
2014-05,0,0,0,0,0,0,0,0,0,20
2014-06,0,0,0,0,0,0,0,0,0,38
2014-07,0,0,0,0,0,0,0,0,0,93
