year_and_month,2015,2016,ADRD,CFSA,FDA1,FDA6,FDA9,HIY0,PNUS,SAL-
2009-01,0,0,0,6,0,0,0,0,6,0
2009-02,0,0,0,0,0,0,0,0,10,0
2009-03,0,0,0,14,0,0,0,0,8,0
2009-04,0,0,0,2,0,0,0,0,8,0
2009-05,0,0,0,5,0,0,0,0,14,0
2009-06,0,0,1,47,0,0,0,0,11,0
2009-07,0,0,0,5,0,0,0,0,17,0
2009-08,0,0,2,3,0,0,0,0,29,0
2009-09,0,0,0,7,0,0,0,0,11,0
2009-10,0,1,0,3,0,0,0,0,10,0
2009-11,0,0,0,6,0,0,0,0,5,0
2009-12,0,0,0,7,0,2,0,0,13,0
2010-01,0,0,4,4,0,6,0,0,13,0
2010-02,0,0,2,3,0,23,0,0,8,0
2010-03,0,0,2,8,1,17,0,0,13,0
2010-04,0,0,7,6,0,24,0,0,11,0
2010-05,0,0,10,1,0,34,0,82,10,0
2010-06,0,0,4,3,0,63,0,128,12,0
2010-07,0,0,0,1,0,92,0,69,25,0
2010-08,0,0,6,4,0,46,0,127,22,0
2010-09,0,0,2,16,0,29,0,86,21,0
2010-10,0,0,1,5,0,68,0,70,13,0
2010-11,0,0,7,1,0,25,0,63,21,0
2010-12,0,0,1,8,0,18,0,41,8,0
2011-01,0,0,1,2,0,40,0,21,7,0
2011-02,0,0,0,1,0,19,0,24,5,0
2011-03,0,0,2,3,0,30,0,18,17,0
2011-04,0,0,3,2,0,11,0,11,21,0
2011-05,0,0,2,1,0,7,0,14,8,0
2011-06,0,0,4,11,0,6,0,0,14,0
2011-07,0,0,4,16,0,13,0,0,34,0
2011-08,0,0,0,11,0,4,0,0,25,0
2011-09,0,0,2,15,0,4,0,0,17,0
2011-10,0,0,0,9,0,12,0,0,17,0
2011-11,0,0,13,0,0,2,0,0,11,0
2011-12,0,0,2,0,0,0,0,0,12,0
2012-01,0,0,4,6,0,1,0,0,11,0
2012-02,0,0,6,30,0,0,0,0,10,0
2012-03,0,0,2,27,0,4,0,0,11,0
2012-04,0,0,2,36,0,2,0,0,14,0
2012-05,0,0,2,94,0,22,0,0,30,0
2012-06,2,0,1,15,0,3,0,0,22,0
2012-07,0,0,5,22,0,0,0,0,48,0
2012-08,0,0,2,37,0,0,0,0,30,0
2012-09,1,0,3,79,0,0,0,0,30,0
2012-10,1,0,10,87,0,0,0,0,16,0
2012-11,0,0,1,14,0,0,0,0,14,0
2012-12,1,0,1,31,0,0,0,0,10,0
2013-01,0,0,1,104,0,0,0,0,16,0
2013-02,0,1,1,24,0,0,0,0,7,0
2013-03,0,2,4,28,0,0,0,0,12,0
2013-04,0,0,1,76,0,0,0,0,22,0
2013-05,3,0,3,42,0,0,0,0,21,0
