year_and_month,CDC,CFSAN,FDA,FDH,MDH,NCBI,NYSDOH,TX A&M,UCM,WQEB
2009-01,9,41,13,0,0,3,8,0,0,0
2009-02,15,28,4,0,0,0,4,0,0,0
2009-03,13,82,21,0,0,4,13,0,0,0
2009-04,14,42,15,0,0,1,10,0,0,0
2009-05,17,49,6,0,0,3,7,0,0,0
2009-06,14,43,54,0,0,0,1,0,0,0
2009-07,22,44,15,0,0,1,10,0,0,0
2009-08,31,27,17,0,0,1,12,0,0,0
2009-09,12,44,13,0,0,1,7,0,0,0
2009-10,14,20,16,3,0,0,2,0,0,0
2009-11,9,24,8,0,0,0,2,0,0,0
2009-12,13,40,12,1,0,0,2,0,0,0
2010-01,12,61,22,0,0,3,1,0,0,0
2010-02,8,111,15,2,0,2,8,0,0,0
2010-03,16,74,17,0,0,0,8,0,0,0
2010-04,20,74,22,2,0,0,2,0,0,0
2010-05,22,77,73,0,0,1,10,0,0,54
2010-06,14,104,84,0,0,0,17,0,0,82
2010-07,32,145,69,0,0,1,7,0,0,43
2010-08,26,91,118,2,0,1,8,0,2,81
2010-09,25,78,90,6,0,9,18,0,0,53
2010-10,17,109,69,6,0,1,32,0,6,45
2010-11,27,54,49,11,0,0,3,0,2,30
2010-12,14,46,30,3,0,2,3,0,2,26
2011-01,13,64,39,3,0,2,4,0,2,12
2011-02,8,52,13,1,0,2,7,0,0,16
2011-03,27,96,26,8,0,0,2,0,0,12
2011-04,26,62,25,34,0,1,4,0,0,7
2011-05,14,60,25,64,1,2,6,0,0,9
2011-06,17,61,25,50,1,0,8,0,2,0
2011-07,36,106,27,81,0,1,10,0,0,0
2011-08,30,91,14,23,3,1,3,0,2,0
2011-09,24,68,13,72,2,0,14,0,4,0
2011-10,24,58,24,44,2,1,9,0,6,0
2011-11,14,75,20,34,0,0,1,0,0,0
2011-12,16,66,28,27,0,0,1,0,0,0
2012-01,17,40,16,25,0,0,0,0,0,0
2012-02,16,61,23,33,0,1,0,0,0,0
2012-03,17,60,25,2,0,0,2,0,0,0
2012-04,19,87,24,19,0,0,15,0,0,0
2012-05,43,160,29,37,0,0,4,0,2,0
2012-06,31,39,37,15,1,0,12,0,6,0
2012-07,66,39,40,3,2,0,44,0,0,0
2012-08,49,73,15,7,0,0,5,0,4,0
2012-09,38,152,30,15,0,0,2,0,4,0
2012-10,23,109,46,70,0,1,2,0,0,0
2012-11,16,29,7,14,0,0,0,0,2,0
2012-12,23,73,6,16,0,0,4,0,2,0
2013-01,27,132,14,1,0,0,0,0,0,0
2013-02,12,54,4,0,0,2,3,0,4,0
2013-03,28,81,19,0,0,1,5,0,0,0
2013-04,38,129,20,0,0,2,6,0,6,0
2013-05,33,108,12,4,0,1,1,0,10,0
2013-06,55,108,3,11,1,3,0,0,4,0
2013-07,47,157,8,2,0,0,4,0,0,0
2013-08,60,246,10,2,0,1,6,0,2,0
2013-09,24,233,38,3,0,10,16,0,4,0
2013-10,31,30,144,0,0,29,24,0,4,0
2013-11,27,47,25,0,0,2,27,0,0,0
2013-12,32,37,5,7,0,0,32,0,0,0
2014-01,98,34,19,21,3,1,22,0,2,0
2014-02,66,42,2,12,1,0,22,0,0,0
2014-03,67,182,7,4,1,0,16,0,0,0
2014-04,123,465,18,7,20,1,31,0,6,0
2014-05,100,362,41,0,22,0,58,0,0,0
2014-06,152,219,162,0,12,0,51,0,6,0
2014-07,217,227,55,0,36,0,59,0,0,0
2014-08,194,162,43,0,29,1,68,0,0,0
2014-09,173,279,69,0,12,0,54,0,2,0
2014-10,156,172,293,0,7,0,27,0,0,0
2014-11,70,88,17,0,11,0,29,0,2,0
2014-12,82,50,15,0,5,0,17,0,0,0
2015-01,170,46,21,0,26,0,11,0,0,0
2015-02,178,68,18,0,17,0,29,0,0,0
2015-03,217,95,38,0,21,3,54,88,2,0
2015-04,288,203,12,0,25,1,63,0,2,0
2015-05,306,160,44,1,23,1,77,0,4,0
2015-06,414,255,229,4,26,2,44,6,0,0
2015-07,506,237,60,6,36,1,48,0,8,0
2015-08,635,269,128,0,18,0,35,0,2,0
2015-09,580,296,158,0,14,0,35,40,0,0
2015-10,368,285,80,0,20,0,10,0,0,0
2015-11,245,217,84,0,6,0,0,0,0,0
2015-12,247,31,71,0,9,0,0,34,0,0
2016-01,305,18,134,0,17,0,2,0,0,0
2016-02,230,72,151,0,28,0,2,0,2,0
2016-03,391,60,92,0,36,0,6,0,4,0
2016-04,509,73,113,0,35,0,14,0,0,0
2016-05,665,45,159,0,15,0,0,0,0,0
2016-06,855,95,83,0,24,7,0,0,2,0
2016-07,1180,56,109,0,25,0,0,0,2,0
2016-08,1277,111,72,0,24,0,0,0,2,0
2016-09,1242,141,67,0,10,0,0,0,0,0
2016-10,1148,79,38,0,6,0,0,0,4,0
2016-11,1017,51,57,0,7,1,0,0,0,0
2016-12,925,35,57,0,7,0,0,0,8,0
2017-01,1046,43,55,0,0,0,0,0,6,0
2017-02,967,47,21,0,0,0,0,0,10,0
2017-03,1302,44,47,0,0,0,0,0,4,0
2017-04,1742,26,18,0,0,0,0,0,4,0
2017-05,1845,74,15,0,0,0,0,0,14,0
2017-06,2077,43,19,0,0,0,0,0,2,0
2017-07,2629,165,27,0,0,5,0,0,2,0
2017-08,2714,191,39,0,0,0,0,0,4,0
2017-09,2027,126,29,0,0,0,0,0,4,0
2017-10,2157,46,50,0,0,0,1,0,2,0
2017-11,1808,21,31,0,0,0,0,0,0,0
2017-12,1420,9,17,0,0,0,0,0,0,0
2018-01,1546,24,75,0,0,2,0,0,0,0
2018-02,1620,100,59,0,0,0,0,0,0,0
2018-03,1709,174,87,0,0,0,0,0,0,0
2018-04,1987,74,82,0,0,0,0,0,0,0
2018-05,2666,219,83,0,0,5,0,0,0,0
2018-06,2825,28,57,0,0,3,0,0,0,0
2018-07,3385,79,59,0,0,1,0,0,0,0
2018-08,3484,41,51,0,0,1,0,0,0,0
2018-09,2966,23,74,0,0,1,0,0,0,0
2018-10,2567,48,59,0,0,19,0,0,0,0
2018-11,1895,107,52,0,0,1,0,0,0,0
2018-12,1712,10,42,0,0,0,0,0,0,0
2019-01,1629,31,121,0,0,0,0,0,0,0
2019-02,1540,112,92,0,0,0,0,0,0,0
2019-03,1894,33,106,0,0,0,0,0,0,0
2019-04,2351,17,153,0,0,0,0,0,0,0
2019-05,2739,54,180,0,0,0,0,0,0,0
2019-06,3090,30,224,0,0,0,0,0,0,0
2019-07,4708,66,238,0,0,3,0,0,0,0
2019-08,5172,30,189,0,0,2,1,0,0,0
2019-09,4867,25,182,0,0,0,0,0,0,0
2019-10,4433,26,208,0,0,1,0,0,0,0
2019-11,3537,23,158,0,0,0,0,0,0,0
2019-12,2569,12,173,0,0,0,7,0,0,0
2020-01,2496,17,138,0,0,0,0,0,0,0
2020-02,1893,40,115,0,0,0,0,0,0,0
2020-03,1831,30,86,0,0,1,0,0,0,0
2020-04,1630,21,29,0,0,0,0,0,0,0
2020-05,2641,10,21,0,0,6,0,0,0,0
2020-06,3628,13,118,0,0,0,0,0,0,0
2020-07,5357,9,58,0,0,1,0,0,0,0
2020-08,4935,142,58,0,0,3,0,0,0,0
2020-09,4629,233,101,0,0,2,0,0,0,0
2020-10,3791,106,52,0,0,2,0,0,0,0
2020-11,2414,47,81,0,0,2,0,0,0,0
2020-12,1592,32,51,0,0,3,0,0,0,0
2021-01,1258,42,59,0,0,11,0,0,0,0
2021-02,1027,27,57,0,0,7,0,0,0,0
2021-03,1408,48,55,0,0,10,0,0,0,0
2021-04,1879,214,69,0,0,3,0,0,0,0
2021-05,2349,39,77,0,0,8,0,0,0,0
2021-06,3379,52,96,0,0,4,0,0,0,0
2021-07,4286,32,56,0,0,6,0,0,0,0
2021-08,4692,39,87,0,0,12,0,0,0,0
2021-09,4990,39,86,0,0,8,0,0,0,0
2021-10,4265,60,113,0,0,15,0,0,0,0
2021-11,2887,13,180,0,0,14,0,0,0,0
2021-12,2123,15,111,0,0,13,0,0,0,0
2022-01,1732,15,100,0,0,0,0,0,0,0
2022-02,1451,21,128,0,0,0,0,0,0,0
2022-03,1948,20,103,0,0,2,0,1,0,0
2022-04,2280,44,97,0,0,3,0,0,0,0
2022-05,3014,29,70,0,0,3,0,0,0,0
2022-06,3816,43,133,0,0,5,0,0,0,0
2022-07,4710,25,112,0,0,2,0,2,0,0
2022-08,4636,110,107,0,0,0,0,0,0,0
2022-09,4595,24,60,0,0,1,0,0,0,0
2022-10,3386,80,70,0,0,3,0,0,0,0
2022-11,2417,12,56,0,0,0,0,5,0,0
2022-12,2017,12,60,0,0,1,0,0,0,0
2023-01,1804,5,61,0,0,5,0,0,0,0
2023-02,504,16,57,0,0,3,0,0,0,0
2023-03,7,30,79,0,0,62,0,0,0,0
2023-04,7,147,51,0,0,32,3,0,0,0
2023-05,4,11,95,0,0,0,0,0,0,0
2023-06,23,7,76,0,0,0,0,0,0,0
2023-07,12,12,84,0,0,2,0,0,0,0
2023-08,5,12,33,0,0,2,0,0,0,0
2023-09,1,169,19,0,0,1,0,0,0,0
2023-10,0,54,22,0,0,4,0,0,0,0
2023-11,0,49,12,0,0,0,0,0,0,0
2023-12,0,0,4,0,0,0,0,0,0,0
