year_and_month,E. coli,Salmonella
1998-01,6,1
1998-02,18,7
1998-03,4,5
1998-04,0,3
1998-05,6,1
1998-06,21,1
1998-07,6,5
1998-08,34,0
1998-09,0,0
1998-10,0,2
1998-11,0,9
1998-12,0,0
1999-01,6,7
1999-02,2,11
1999-03,4,11
1999-04,4,0
1999-05,5,2
1999-06,29,3
1999-07,2,8
1999-08,6,2
1999-09,28,3
1999-10,4,34
1999-11,0,13
1999-12,2,4
2000-01,1,3
2000-02,4,0
2000-03,3,3
2000-04,2,2
2000-05,1,12
2000-06,0,8
2000-07,4,12
2000-08,3,15
2000-09,5,18
2000-10,67,17
2000-11,2,13
2000-12,2,2
2001-01,4,20
2001-02,6,13
2001-03,10,11
2001-04,0,15
2001-05,2,41
2001-06,2,23
2001-07,0,37
2001-08,8,29
2001-09,4,56
2001-10,0,40
2001-11,0,28
2001-12,4,17
2002-01,0,30
2002-02,0,29
2002-03,0,24
2002-04,0,7
2002-05,7,18
2002-06,28,25
2002-07,4,22
2002-08,0,56
2002-09,5,49
2002-10,3,48
2002-11,2,54
2002-12,1,46
2003-01,0,59
2003-02,2,235
2003-03,3,158
2003-04,19,155
2003-05,20,134
2003-06,27,151
2003-07,7,63
2003-08,33,79
2003-09,2,85
2003-10,75,80
2003-11,3,31
2003-12,0,24
2004-01,2,44
2004-02,12,33
2004-03,0,45
2004-04,0,29
2004-05,3,24
2004-06,1,38
2004-07,9,42
2004-08,2,94
2004-09,2,38
2004-10,7,45
2004-11,5,28
2004-12,3,39
2005-01,18,43
2005-02,3,40
2005-03,15,54
2005-04,17,53
2005-05,9,54
2005-06,57,79
2005-07,87,57
2005-08,26,57
2005-09,6,51
2005-10,1,49
2005-11,2,41
2005-12,17,38
2006-01,101,61
2006-02,11,53
2006-03,19,45
2006-04,5,46
2006-05,15,49
2006-06,8,65
2006-07,9,64
2006-08,18,34
2006-09,35,31
2006-10,192,44
2006-11,16,156
2006-12,53,57
2007-01,125,776
2007-02,4,181
2007-03,12,51
2007-04,43,152
2007-05,38,38
2007-06,31,76
2007-07,18,41
2007-08,42,46
2007-09,42,46
2007-10,21,114
2007-11,13,99
2007-12,13,73
2008-01,31,76
2008-02,4,69
2008-03,13,77
2008-04,8,97
2008-05,4,38
2008-06,24,60
2008-07,19,119
2008-08,11,76
2008-09,23,103
2008-10,19,78
2008-11,15,80
2008-12,10,63
2009-01,15,76
2009-02,8,51
2009-03,2,137
2009-04,22,90
2009-05,10,82
2009-06,35,114
2009-07,25,92
2009-08,11,102
2009-09,35,77
2009-10,61,57
2009-11,46,45
2009-12,46,72
2010-01,42,111
2010-02,38,152
2010-03,49,115
2010-04,49,124
2010-05,15,237
2010-06,88,303
2010-07,27,297
2010-08,27,331
2010-09,16,279
2010-10,16,301
2010-11,11,182
2010-12,15,130
2011-01,30,144
2011-02,10,108
2011-03,15,183
